indice_global,indice_estricto,título,director,año,duración,género,rating,metascore,recaudación(M)
106,42,The Prestige,Christopher Nolan,2006,130,Misterio,8.5,66,53.09
107,42,The Prestige,Christopher Nolan,2006,130,Ciencia Ficción,8.5,66,53.09
108,43,Whiplash,Damien Chazelle,2014,106,Drama,8.5,89,13.09
109,43,Whiplash,Damien Chazelle,2014,106,Musica,8.5,89,13.09
110,44,LÃ©on: The Professional,Luc Besson,1994,110,Acción,8.5,64,19.5
111,44,LÃ©on: The Professional,Luc Besson,1994,110,Crimen,8.5,64,19.5
112,44,LÃ©on: The Professional,Luc Besson,1994,110,Drama,8.5,64,19.5
113,45,The Lion King,Roger Allers,1994,88,Animación,8.5,88,422.78
114,45,The Lion King,Roger Allers,1994,88,Aventura,8.5,88,422.78
115,45,The Lion King,Roger Allers,1994,88,Drama,8.5,88,422.78
116,46,The Usual Suspects,Bryan Singer,1995,106,Crimen,8.5,77,23.34
117,46,The Usual Suspects,Bryan Singer,1995,106,Drama,8.5,77,23.34
118,46,The Usual Suspects,Bryan Singer,1995,106,Misterio,8.5,77,23.34
119,47,Casablanca,Michael Curtiz,1942,102,Drama,8.5,100,1.02
120,47,Casablanca,Michael Curtiz,1942,102,Romance,8.5,100,1.02
121,47,Casablanca,Michael Curtiz,1942,102,Guerra,8.5,100,1.02
122,48,American History X,Tony Kaye,1998,119,Crimen,8.5,62,6.72
123,48,American History X,Tony Kaye,1998,119,Drama,8.5,62,6.72
124,49,Psycho,Alfred Hitchcock,1960,109,Terror,8.5,97,32.0
125,49,Psycho,Alfred Hitchcock,1960,109,Misterio,8.5,97,32.0
126,49,Psycho,Alfred Hitchcock,1960,109,Thriller,8.5,97,32.0
127,50,The Pianist,Roman Polanski,2002,150,Biografía,8.5,85,32.57
128,50,The Pianist,Roman Polanski,2002,150,Drama,8.5,85,32.57
129,50,The Pianist,Roman Polanski,2002,150,Musica,8.5,85,32.57
130,51,The Intouchables,Olivier Nakache,2011,112,Biografía,8.5,57,13.18
131,51,The Intouchables,Olivier Nakache,2011,112,Comedia,8.5,57,13.18
132,51,The Intouchables,Olivier Nakache,2011,112,Drama,8.5,57,13.18
133,52,Once Upon a Time in the West,Sergio Leone,1968,165,Western,8.5,82,5.32
134,53,Grave of the Fireflies,Isao Takahata,1988,89,Animación,8.5,94,0.0
135,53,Grave of the Fireflies,Isao Takahata,1988,89,Drama,8.5,94,0.0
136,53,Grave of the Fireflies,Isao Takahata,1988,89,Guerra,8.5,94,0.0
137,54,Rear Window,Alfred Hitchcock,1954,112,Misterio,8.5,100,36.76
138,54,Rear Window,Alfred Hitchcock,1954,112,Thriller,8.5,100,36.76
139,55,Cinema Paradiso,Giuseppe Tornatore,1988,155,Drama,8.5,80,11.99
140,55,Cinema Paradiso,Giuseppe Tornatore,1988,155,Romance,8.5,80,11.99
141,56,Modern Times,Charles Chaplin,1936,87,Comedia,8.5,96,0.16
142,56,Modern Times,Charles Chaplin,1936,87,Drama,8.5,96,0.16
143,56,Modern Times,Charles Chaplin,1936,87,Romance,8.5,96,0.16
144,57,City Lights,Charles Chaplin,1931,87,Comedia,8.5,99,0.02
145,57,City Lights,Charles Chaplin,1931,87,Drama,8.5,99,0.02
146,57,City Lights,Charles Chaplin,1931,87,Romance,8.5,99,0.02
147,58,96,C. Prem Kumar,2018,158,Drama,8.5,0,0.0
148,58,96,C. Prem Kumar,2018,158,Romance,8.5,0,0.0
149,59,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,1981,115,Acción,8.4,85,248.16
150,59,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,1981,115,Aventura,8.4,85,248.16
151,60,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018,117,Animación,8.4,87,190.24
152,60,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018,117,Acción,8.4,87,190.24
153,60,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018,117,Aventura,8.4,87,190.24
154,61,Avengers: Endgame,Anthony Russo,2019,181,Acción,8.4,78,858.37
155,61,Avengers: Endgame,Anthony Russo,2019,181,Aventura,8.4,78,858.37
156,61,Avengers: Endgame,Anthony Russo,2019,181,Drama,8.4,78,858.37
157,62,Django Unchained,Quentin Tarantino,2012,165,Drama,8.4,81,162.81
158,62,Django Unchained,Quentin Tarantino,2012,165,Western,8.4,81,162.81
159,63,Apocalypse Now,Francis Ford Coppola,1979,147,Drama,8.4,94,83.47
160,63,Apocalypse Now,Francis Ford Coppola,1979,147,Misterio,8.4,94,83.47
161,63,Apocalypse Now,Francis Ford Coppola,1979,147,Guerra,8.4,94,83.47
162,64,Aliens,James Cameron,1986,137,Acción,8.4,84,85.16
163,64,Aliens,James Cameron,1986,137,Aventura,8.4,84,85.16
164,64,Aliens,James Cameron,1986,137,Ciencia Ficción,8.4,84,85.16
165,65,Joker,Todd Phillips,2019,122,Crimen,8.4,59,335.45
166,65,Joker,Todd Phillips,2019,122,Drama,8.4,59,335.45
167,65,Joker,Todd Phillips,2019,122,Thriller,8.4,59,335.45
168,66,The Dark Knight Rises,Christopher Nolan,2012,164,Acción,8.4,78,448.14
169,66,The Dark Knight Rises,Christopher Nolan,2012,164,Drama,8.4,78,448.14
170,66,The Dark Knight Rises,Christopher Nolan,2012,164,Thriller,8.4,78,448.14
171,67,Avengers: Infinity War,Anthony Russo,2018,149,Acción,8.4,68,678.82
172,67,Avengers: Infinity War,Anthony Russo,2018,149,Aventura,8.4,68,678.82
173,67,Avengers: Infinity War,Anthony Russo,2018,149,Ciencia Ficción,8.4,68,678.82
174,68,The Shining,Stanley Kubrick,1980,146,Drama,8.4,66,44.02
175,68,The Shining,Stanley Kubrick,1980,146,Terror,8.4,66,44.02
176,69,Oldboy,Park Chan-wook,2003,120,Acción,8.4,77,0.71
177,69,Oldboy,Park Chan-wook,2003,120,Drama,8.4,77,0.71
178,69,Oldboy,Park Chan-wook,2003,120,Misterio,8.4,77,0.71
179,70,Memento,Christopher Nolan,2000,113,Misterio,8.4,83,25.54
180,70,Memento,Christopher Nolan,2000,113,Thriller,8.4,83,25.54
181,71,Amadeus,Milos Forman,1984,160,Biografía,8.4,88,51.97
182,71,Amadeus,Milos Forman,1984,160,Drama,8.4,88,51.97
183,71,Amadeus,Milos Forman,1984,160,Musica,8.4,88,51.97
184,72,Come and See,Elem Klimov,1985,142,Drama,8.4,0,0.0
185,72,Come and See,Elem Klimov,1985,142,Thriller,8.4,0,0.0
186,72,Come and See,Elem Klimov,1985,142,Guerra,8.4,0,0.0
187,73,Coco,Lee Unkrich,2017,105,Animación,8.4,81,209.73
188,73,Coco,Lee Unkrich,2017,105,Aventura,8.4,81,209.73
189,73,Coco,Lee Unkrich,2017,105,Drama,8.4,81,209.73
190,74,Your Name.,Makoto Shinkai,2016,106,Animación,8.4,81,5.02
191,74,Your Name.,Makoto Shinkai,2016,106,Drama,8.4,81,5.02
192,74,Your Name.,Makoto Shinkai,2016,106,Fantasía,8.4,81,5.02
193,75,WALLÂ·E,Andrew Stanton,2008,98,Animación,8.4,95,223.81
194,75,WALLÂ·E,Andrew Stanton,2008,98,Aventura,8.4,95,223.81
195,75,WALLÂ·E,Andrew Stanton,2008,98,Familiar,8.4,95,223.81
196,76,3 Idiots,Rajkumar Hirani,2009,170,Comedia,8.4,67,6.53
197,76,3 Idiots,Rajkumar Hirani,2009,170,Drama,8.4,67,6.53
198,77,The Lives of Others,Florian Henckel von Donnersmarck,2006,137,Drama,8.4,89,11.29
199,77,The Lives of Others,Florian Henckel von Donnersmarck,2006,137,Misterio,8.4,89,11.29
200,77,The Lives of Others,Florian Henckel von Donnersmarck,2006,137,Thriller,8.4,89,11.29
201,78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,95,Comedia,8.4,97,0.28
202,78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,95,Guerra,8.4,97,0.28
203,79,Das Boot,Wolfgang Petersen,1981,149,Drama,8.4,86,11.49
204,79,Das Boot,Wolfgang Petersen,1981,149,Guerra,8.4,86,11.49
205,80,Capernaum,Nadine Labaki,2018,126,Drama,8.4,75,1.66
206,81,Sunset Blvd.,Billy Wilder,1950,110,Drama,8.4,94,0.0
207,81,Sunset Blvd.,Billy Wilder,1950,110,Film-Noir,8.4,94,0.0
208,82,Paths of Glory,Stanley Kubrick,1957,88,Drama,8.4,90,0.0
209,82,Paths of Glory,Stanley Kubrick,1957,88,Guerra,8.4,90,0.0
210,83,Witness for the Prosecution,Billy Wilder,1957,116,Crimen,8.4,76,8.18
211,83,Witness for the Prosecution,Billy Wilder,1957,116,Drama,8.4,76,8.18
212,83,Witness for the Prosecution,Billy Wilder,1957,116,Misterio,8.4,76,8.18
213,84,The Great Dictator,Charles Chaplin,1940,125,Comedia,8.4,0,0.29
214,84,The Great Dictator,Charles Chaplin,1940,125,Drama,8.4,0,0.29
215,84,The Great Dictator,Charles Chaplin,1940,125,Guerra,8.4,0,0.29
216,85,High and Low,Akira Kurosawa,1963,143,Crimen,8.4,90,0.0
217,85,High and Low,Akira Kurosawa,1963,143,Drama,8.4,90,0.0
218,85,High and Low,Akira Kurosawa,1963,143,Misterio,8.4,90,0.0
219,86,Kaithi,Lokesh Kanagaraj,2019,145,Acción,8.4,0,0.0
220,86,Kaithi,Lokesh Kanagaraj,2019,145,Aventura,8.4,0,0.0
221,86,Kaithi,Lokesh Kanagaraj,2019,145,Crimen,8.4,0,0.0
222,87,Sardar Udham,Shoojit Sircar,2021,164,Biografía,8.4,0,0.0
223,87,Sardar Udham,Shoojit Sircar,2021,164,Crimen,8.4,0,0.0
224,87,Sardar Udham,Shoojit Sircar,2021,164,Drama,8.4,0,0.0
225,88,Asuran,Vetrimaaran,2019,141,Acción,8.4,0,0.0
226,88,Asuran,Vetrimaaran,2019,141,Drama,8.4,0,0.0
227,89,Drishyam 2,Jeethu Joseph,2021,152,Crimen,8.4,0,0.0
228,89,Drishyam 2,Jeethu Joseph,2021,152,Drama,8.4,0,0.0
229,89,Drishyam 2,Jeethu Joseph,2021,152,Thriller,8.4,0,0.0
230,90,Top Gun: Maverick,Joseph Kosinski,2022,130,Acción,8.3,78,718.73
231,90,Top Gun: Maverick,Joseph Kosinski,2022,130,Drama,8.3,78,718.73
232,91,Heat,Michael Mann,1995,170,Acción,8.3,76,67.44
233,91,Heat,Michael Mann,1995,170,Crimen,8.3,76,67.44
234,91,Heat,Michael Mann,1995,170,Drama,8.3,76,67.44
235,92,Inglourious Basterds,Quentin Tarantino,2009,153,Aventura,8.3,69,120.54
236,92,Inglourious Basterds,Quentin Tarantino,2009,153,Drama,8.3,69,120.54
237,92,Inglourious Basterds,Quentin Tarantino,2009,153,Guerra,8.3,69,120.54
238,93,Full Metal Jacket,Stanley Kubrick,1987,116,Drama,8.3,78,46.36
239,93,Full Metal Jacket,Stanley Kubrick,1987,116,Guerra,8.3,78,46.36
240,94,Scarface,Brian De Palma,1983,170,Crimen,8.3,65,45.6
241,94,Scarface,Brian De Palma,1983,170,Drama,8.3,65,45.6
242,95,American Beauty,Sam Mendes,1999,122,Drama,8.3,84,130.1
243,96,Requiem for a Dream,Darren Aronofsky,2000,102,Drama,8.3,71,3.64
244,97,Good Will Hunting,Gus Van Sant,1997,126,Drama,8.3,70,138.43
245,97,Good Will Hunting,Gus Van Sant,1997,126,Romance,8.3,70,138.43
246,98,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,108,Drama,8.3,89,34.4
247,98,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,108,Romance,8.3,89,34.4
248,98,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,108,Ciencia Ficción,8.3,89,34.4
249,99,A Clockwork Orange,Stanley Kubrick,1971,136,Crimen,8.3,77,6.21
250,99,A Clockwork Orange,Stanley Kubrick,1971,136,Ciencia Ficción,8.3,77,6.21
251,100,Vertigo,Alfred Hitchcock,1958,128,Misterio,8.3,100,3.2
252,100,Vertigo,Alfred Hitchcock,1958,128,Romance,8.3,100,3.2
253,100,Vertigo,Alfred Hitchcock,1958,128,Thriller,8.3,100,3.2
254,101,Braveheart,Mel Gibson,1995,178,Biografía,8.3,68,75.6
255,101,Braveheart,Mel Gibson,1995,178,Drama,8.3,68,75.6
256,101,Braveheart,Mel Gibson,1995,178,Historia,8.3,68,75.6
257,102,2001: A Space Odyssey,Stanley Kubrick,1968,149,Aventura,8.3,84,56.95
258,102,2001: A Space Odyssey,Stanley Kubrick,1968,149,Ciencia Ficción,8.3,84,56.95
259,103,Reservoir Dogs,Quentin Tarantino,1992,99,Crimen,8.3,81,2.83
260,103,Reservoir Dogs,Quentin Tarantino,1992,99,Thriller,8.3,81,2.83
261,104,Once Upon a Time in America,Sergio Leone,1984,229,Crimen,8.3,75,5.32
262,104,Once Upon a Time in America,Sergio Leone,1984,229,Drama,8.3,75,5.32
263,105,The Hunt,Thomas Vinterberg,2012,115,Drama,8.3,77,0.69
264,106,Toy Story,John Lasseter,1995,81,Animación,8.3,96,191.8
265,106,Toy Story,John Lasseter,1995,81,Aventura,8.3,96,191.8
266,106,Toy Story,John Lasseter,1995,81,Comedia,8.3,96,191.8
267,107,Hamilton,Thomas Kail,2020,160,Biografía,8.3,89,0.0
268,107,Hamilton,Thomas Kail,2020,160,Drama,8.3,89,0.0
269,107,Hamilton,Thomas Kail,2020,160,Historia,8.3,89,0.0
270,108,Up,Pete Docter,2009,96,Animación,8.3,88,293.0
271,108,Up,Pete Docter,2009,96,Aventura,8.3,88,293.0
272,108,Up,Pete Docter,2009,96,Comedia,8.3,88,293.0
273,109,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,1983,131,Acción,8.3,58,309.13
274,109,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,1983,131,Aventura,8.3,58,309.13
275,109,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,1983,131,Fantasía,8.3,58,309.13
276,110,AmÃ©lie,Jean-Pierre Jeunet,2001,122,Comedia,8.3,69,33.23
277,110,AmÃ©lie,Jean-Pierre Jeunet,2001,122,Romance,8.3,69,33.23
278,111,Incendies,Denis Villeneuve,2010,131,Drama,8.3,80,6.86
279,111,Incendies,Denis Villeneuve,2010,131,Misterio,8.3,80,6.86
280,112,Lawrence of Arabia,David Lean,1962,218,Aventura,8.3,100,44.82
281,112,Lawrence of Arabia,David Lean,1962,218,Biografía,8.3,100,44.82
282,112,Lawrence of Arabia,David Lean,1962,218,Drama,8.3,100,44.82
283,113,Toy Story 3,Lee Unkrich,2010,103,Animación,8.3,92,415.0
284,113,Toy Story 3,Lee Unkrich,2010,103,Aventura,8.3,92,415.0
285,113,Toy Story 3,Lee Unkrich,2010,103,Comedia,8.3,92,415.0
286,114,Princess Mononoke,Hayao Miyazaki,1997,134,Animación,8.3,76,2.38
287,114,Princess Mononoke,Hayao Miyazaki,1997,134,Acción,8.3,76,2.38
288,114,Princess Mononoke,Hayao Miyazaki,1997,134,Aventura,8.3,76,2.38
289,115,North by Northwest,Alfred Hitchcock,1959,136,Acción,8.3,98,13.28
290,115,North by Northwest,Alfred Hitchcock,1959,136,Aventura,8.3,98,13.28
291,115,North by Northwest,Alfred Hitchcock,1959,136,Misterio,8.3,98,13.28
292,116,To Kill a Mockingbird,Robert Mulligan,1962,129,Crimen,8.3,88,0.0
293,116,To Kill a Mockingbird,Robert Mulligan,1962,129,Drama,8.3,88,0.0
294,117,Citizen Kane,Orson Welles,1941,119,Drama,8.3,100,1.59
295,117,Citizen Kane,Orson Welles,1941,119,Misterio,8.3,100,1.59
296,118,Singin' in the Rain,Stanley Donen,1952,103,Comedia,8.3,99,8.82
297,118,Singin' in the Rain,Stanley Donen,1952,103,Musical,8.3,99,8.82
298,118,Singin' in the Rain,Stanley Donen,1952,103,Romance,8.3,99,8.82
299,119,Metropolis,Fritz Lang,1927,153,Drama,8.3,98,1.24
300,119,Metropolis,Fritz Lang,1927,153,Ciencia Ficción,8.3,98,1.24
301,120,The Sting,George Roy Hill,1973,129,Comedia,8.3,83,159.6
302,120,The Sting,George Roy Hill,1973,129,Crimen,8.3,83,159.6
303,120,The Sting,George Roy Hill,1973,129,Drama,8.3,83,159.6
304,121,A Separation,Asghar Farhadi,2011,123,Drama,8.3,95,7.1
305,122,M,Fritz Lang,1931,99,Crimen,8.3,0,0.03
306,122,M,Fritz Lang,1931,99,Misterio,8.3,0,0.03
307,122,M,Fritz Lang,1931,99,Thriller,8.3,0,0.03
308,123,The Apartment,Billy Wilder,1960,125,Comedia,8.3,94,18.6
309,123,The Apartment,Billy Wilder,1960,125,Drama,8.3,94,18.6
310,123,The Apartment,Billy Wilder,1960,125,Romance,8.3,94,18.6
311,124,Dangal,Nitesh Tiwari,2016,161,Acción,8.3,0,12.39
312,124,Dangal,Nitesh Tiwari,2016,161,Biografía,8.3,0,12.39
313,124,Dangal,Nitesh Tiwari,2016,161,Drama,8.3,0,12.39
314,125,Ikiru,Akira Kurosawa,1952,143,Drama,8.3,92,0.06
315,126,Judgment at Nuremberg,Stanley Kramer,1961,179,Drama,8.3,60,0.0
316,126,Judgment at Nuremberg,Stanley Kramer,1961,179,Guerra,8.3,60,0.0
317,127,Kantara,Rishab Shetty,2022,148,Acción,8.3,0,0.0
318,127,Kantara,Rishab Shetty,2022,148,Aventura,8.3,0,0.0
319,127,Kantara,Rishab Shetty,2022,148,Drama,8.3,0,0.0
320,128,Double Indemnity,Billy Wilder,1944,107,Crimen,8.3,95,5.72
321,128,Double Indemnity,Billy Wilder,1944,107,Drama,8.3,95,5.72
322,128,Double Indemnity,Billy Wilder,1944,107,Film-Noir,8.3,95,5.72
323,129,Like Stars on Earth,Aamir Khan,2007,165,Drama,8.3,0,1.22
324,129,Like Stars on Earth,Aamir Khan,2007,165,Familiar,8.3,0,1.22
325,130,Bicycle Thieves,Vittorio De Sica,1948,89,Drama,8.3,0,0.33
326,131,Ayla: The Daughter of War,Can Ulkay,2017,125,Biografía,8.3,0,0.0
327,131,Ayla: The Daughter of War,Can Ulkay,2017,125,Drama,8.3,0,0.0
328,131,Ayla: The Daughter of War,Can Ulkay,2017,125,Historia,8.3,0,0.0
329,132,K.G.F: Chapter 2,Prashanth Neel,2022,168,Acción,8.3,0,6.6
330,132,K.G.F: Chapter 2,Prashanth Neel,2022,168,Crimen,8.3,0,6.6
331,132,K.G.F: Chapter 2,Prashanth Neel,2022,168,Drama,8.3,0,6.6
332,133,Vikram,Lokesh Kanagaraj,2022,175,Acción,8.3,0,0.0
333,133,Vikram,Lokesh Kanagaraj,2022,175,Crimen,8.3,0,0.0
334,133,Vikram,Lokesh Kanagaraj,2022,175,Thriller,8.3,0,0.0
